run,bc,grade_deg,frame,bin,x_centre_m,depth_m
closed_g64,closed,0.0,13,1,1.619362,0.262150
closed_g64,closed,0.0,13,2,2.306364,0.299438
closed_g64,closed,0.0,13,3,2.993366,0.291619
closed_g64,closed,0.0,13,4,3.680368,0.307571
closed_g64,closed,0.0,13,5,4.367370,0.291311
closed_g64,closed,0.0,13,6,5.054372,0.289445
closed_g64,closed,0.0,13,7,5.741374,0.313624
closed_g64,closed,0.0,13,8,6.428376,0.307342
closed_g64,closed,0.0,13,9,7.115378,0.281303
closed_g64,closed,0.0,13,10,7.802380,0.314368
closed_g64,closed,0.0,13,11,8.489382,0.466786
closed_g64,closed,0.0,14,0,0.932360,0.106450
closed_g64,closed,0.0,14,1,1.619362,0.255039
closed_g64,closed,0.0,14,2,2.306364,0.302832
closed_g64,closed,0.0,14,3,2.993366,0.299390
closed_g64,closed,0.0,14,4,3.680368,0.298030
closed_g64,closed,0.0,14,5,4.367370,0.293741
closed_g64,closed,0.0,14,6,5.054372,0.295010
closed_g64,closed,0.0,14,7,5.741374,0.297499
closed_g64,closed,0.0,14,8,6.428376,0.293309
closed_g64,closed,0.0,14,9,7.115378,0.322626
closed_g64,closed,0.0,14,10,7.802380,0.293075
closed_g64,closed,0.0,14,11,8.489382,0.481411
closed_g64,closed,0.0,15,0,0.932360,0.096284
closed_g64,closed,0.0,15,1,1.619362,0.255271
closed_g64,closed,0.0,15,2,2.306364,0.298536
closed_g64,closed,0.0,15,3,2.993366,0.297488
closed_g64,closed,0.0,15,4,3.680368,0.306768
closed_g64,closed,0.0,15,5,4.367370,0.296818
closed_g64,closed,0.0,15,6,5.054372,0.284698
closed_g64,closed,0.0,15,7,5.741374,0.316126
closed_g64,closed,0.0,15,8,6.428376,0.291686
closed_g64,closed,0.0,15,9,7.115378,0.282878
closed_g64,closed,0.0,15,10,7.802380,0.315018
closed_g64,closed,0.0,15,11,8.489382,0.499599
closed_g64,closed,0.0,16,0,0.932360,0.058922
closed_g64,closed,0.0,16,1,1.619362,0.258390
closed_g64,closed,0.0,16,2,2.306364,0.292722
closed_g64,closed,0.0,16,3,2.993366,0.302666
closed_g64,closed,0.0,16,4,3.680368,0.303436
closed_g64,closed,0.0,16,5,4.367370,0.295671
closed_g64,closed,0.0,16,6,5.054372,0.320616
closed_g64,closed,0.0,16,7,5.741374,0.281927
closed_g64,closed,0.0,16,8,6.428376,0.311736
closed_g64,closed,0.0,16,9,7.115378,0.283800
closed_g64,closed,0.0,16,10,7.802380,0.329559
closed_g64,closed,0.0,16,11,8.489382,0.515626
closed_g64,closed,0.0,17,0,0.932360,
closed_g64,closed,0.0,17,1,1.619362,0.247447
closed_g64,closed,0.0,17,2,2.306364,0.306701
closed_g64,closed,0.0,17,3,2.993366,0.300943
closed_g64,closed,0.0,17,4,3.680368,0.308114
closed_g64,closed,0.0,17,5,4.367370,0.296724
closed_g64,closed,0.0,17,6,5.054372,0.287431
closed_g64,closed,0.0,17,7,5.741374,0.323992
closed_g64,closed,0.0,17,8,6.428376,0.300360
closed_g64,closed,0.0,17,9,7.115378,0.284651
closed_g64,closed,0.0,17,10,7.802380,0.315597
closed_g64,closed,0.0,17,11,8.489382,0.692078
closed_g64,closed,0.0,18,0,0.932360,
closed_g64,closed,0.0,18,1,1.619362,0.230448
closed_g64,closed,0.0,18,2,2.306364,0.295593
closed_g64,closed,0.0,18,3,2.993366,0.304356
closed_g64,closed,0.0,18,4,3.680368,0.308279
closed_g64,closed,0.0,18,5,4.367370,0.288629
closed_g64,closed,0.0,18,6,5.054372,0.317376
closed_g64,closed,0.0,18,7,5.741374,0.304864
closed_g64,closed,0.0,18,8,6.428376,0.296930
closed_g64,closed,0.0,18,9,7.115378,0.286352
closed_g64,closed,0.0,18,10,7.802380,0.320911
closed_g64,closed,0.0,18,11,8.489382,0.798329
closed_g64,closed,0.0,19,0,0.932360,
closed_g64,closed,0.0,19,1,1.619362,0.233985
closed_g64,closed,0.0,19,2,2.306364,0.298686
closed_g64,closed,0.0,19,3,2.993366,0.301407
closed_g64,closed,0.0,19,4,3.680368,0.299010
closed_g64,closed,0.0,19,5,4.367370,0.299502
closed_g64,closed,0.0,19,6,5.054372,0.291263
closed_g64,closed,0.0,19,7,5.741374,0.323240
closed_g64,closed,0.0,19,8,6.428376,0.297204
closed_g64,closed,0.0,19,9,7.115378,0.304118
closed_g64,closed,0.0,19,10,7.802380,0.334762
closed_g64,closed,0.0,19,11,8.489382,0.788804
closed_g64,closed,0.0,20,0,0.932360,
closed_g64,closed,0.0,20,1,1.619362,0.225007
closed_g64,closed,0.0,20,2,2.306364,0.298611
closed_g64,closed,0.0,20,3,2.993366,0.298787
closed_g64,closed,0.0,20,4,3.680368,0.298508
closed_g64,closed,0.0,20,5,4.367370,0.305144
closed_g64,closed,0.0,20,6,5.054372,0.293117
closed_g64,closed,0.0,20,7,5.741374,0.311835
closed_g64,closed,0.0,20,8,6.428376,0.315457
closed_g64,closed,0.0,20,9,7.115378,0.325839
closed_g64,closed,0.0,20,10,7.802380,0.342453
closed_g64,closed,0.0,20,11,8.489382,0.773979
closed_g64,closed,0.0,21,0,0.932360,
closed_g64,closed,0.0,21,1,1.619362,0.217658
closed_g64,closed,0.0,21,2,2.306364,0.299655
closed_g64,closed,0.0,21,3,2.993366,0.300630
closed_g64,closed,0.0,21,4,3.680368,0.300396
closed_g64,closed,0.0,21,5,4.367370,0.298831
closed_g64,closed,0.0,21,6,5.054372,0.312347
closed_g64,closed,0.0,21,7,5.741374,0.308493
closed_g64,closed,0.0,21,8,6.428376,0.317259
closed_g64,closed,0.0,21,9,7.115378,0.284793
closed_g64,closed,0.0,21,10,7.802380,0.344049
closed_g64,closed,0.0,21,11,8.489382,0.757786
closed_g64,closed,0.0,22,0,0.932360,
closed_g64,closed,0.0,22,1,1.619362,0.215623
closed_g64,closed,0.0,22,2,2.306364,0.298181
closed_g64,closed,0.0,22,3,2.993366,0.299837
closed_g64,closed,0.0,22,4,3.680368,0.294112
closed_g64,closed,0.0,22,5,4.367370,0.303365
closed_g64,closed,0.0,22,6,5.054372,0.295709
closed_g64,closed,0.0,22,7,5.741374,0.303806
closed_g64,closed,0.0,22,8,6.428376,0.310496
closed_g64,closed,0.0,22,9,7.115378,0.316806
closed_g64,closed,0.0,22,10,7.802380,0.358812
closed_g64,closed,0.0,22,11,8.489382,0.742988
closed_g64,closed,0.0,23,0,0.932360,
closed_g64,closed,0.0,23,1,1.619362,0.206979
closed_g64,closed,0.0,23,2,2.306364,0.300345
closed_g64,closed,0.0,23,3,2.993366,0.298851
closed_g64,closed,0.0,23,4,3.680368,0.291869
closed_g64,closed,0.0,23,5,4.367370,0.307895
closed_g64,closed,0.0,23,6,5.054372,0.285047
closed_g64,closed,0.0,23,7,5.741374,0.318425
closed_g64,closed,0.0,23,8,6.428376,0.305775
closed_g64,closed,0.0,23,9,7.115378,0.297015
closed_g64,closed,0.0,23,10,7.802380,0.365830
closed_g64,closed,0.0,23,11,8.489382,0.729513
closed_g64,closed,0.0,24,0,0.932360,
closed_g64,closed,0.0,24,1,1.619362,0.168106
closed_g64,closed,0.0,24,2,2.306364,0.298399
closed_g64,closed,0.0,24,3,2.993366,0.296224
closed_g64,closed,0.0,24,4,3.680368,0.295386
closed_g64,closed,0.0,24,5,4.367370,0.307290
closed_g64,closed,0.0,24,6,5.054372,0.299343
closed_g64,closed,0.0,24,7,5.741374,0.287237
closed_g64,closed,0.0,24,8,6.428376,0.292245
closed_g64,closed,0.0,24,9,7.115378,0.324817
closed_g64,closed,0.0,24,10,7.802380,0.376865
closed_g64,closed,0.0,24,11,8.489382,0.716691
closed_g64,closed,0.0,25,0,0.932360,
closed_g64,closed,0.0,25,1,1.619362,0.172343
closed_g64,closed,0.0,25,2,2.306364,0.290399
closed_g64,closed,0.0,25,3,2.993366,0.297215
closed_g64,closed,0.0,25,4,3.680368,0.293785
closed_g64,closed,0.0,25,5,4.367370,0.315675
closed_g64,closed,0.0,25,6,5.054372,0.297167
closed_g64,closed,0.0,25,7,5.741374,0.323166
closed_g64,closed,0.0,25,8,6.428376,0.287809
closed_g64,closed,0.0,25,9,7.115378,0.328440
closed_g64,closed,0.0,25,10,7.802380,0.389618
closed_g64,closed,0.0,25,11,8.489382,0.703905
closed_g64,closed,0.0,26,0,0.932360,
closed_g64,closed,0.0,26,1,1.619362,0.156371
closed_g64,closed,0.0,26,2,2.306364,0.282829
closed_g64,closed,0.0,26,3,2.993366,0.297287
closed_g64,closed,0.0,26,4,3.680368,0.290995
closed_g64,closed,0.0,26,5,4.367370,0.316053
closed_g64,closed,0.0,26,6,5.054372,0.299834
closed_g64,closed,0.0,26,7,5.741374,0.305730
closed_g64,closed,0.0,26,8,6.428376,0.310515
