round,run,bed,head_len,U,frame,q,y_b,y_c,ratio,froude,n_sunk
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,60,0.266385,0.138869,0.193397,1.392657,0.850943,252
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,65,0.252821,0.127315,0.186775,1.467031,0.812993,251
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,70,0.213216,0.123027,0.166721,1.355160,0.722429,256
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,75,0.209147,0.123078,0.164593,1.337303,0.776347,264
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,80,0.194227,0.120790,0.156669,1.297034,0.757129,264
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,85,0.186089,0.109091,0.152262,1.395739,0.817732,275
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,90,0.181478,0.106144,0.149736,1.410684,0.850573,285
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,95,0.180393,0.097423,0.149139,1.530841,0.847940,307
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,100,0.163303,0.106118,0.139564,1.315180,0.970751,319
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,105,0.166558,0.097263,0.141412,1.453926,1.072727,326
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,110,0.160590,0.080941,0.138014,1.705114,1.106768,319
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,115,0.166558,0.076190,0.141412,1.856050,1.175870,298
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,120,0.163032,0.074162,0.139409,1.879797,1.174152,295
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,125,0.180935,0.069592,0.149437,2.147328,1.357531,307
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,130,0.182292,0.069404,0.150183,2.163888,1.389335,319
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,135,0.185276,0.068374,0.151818,2.220400,1.410275,298
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,140,0.190972,0.065804,0.154914,2.354189,1.458449,307
v4_sdfbed_head0p8,ovf4_v1p0,sdf,0.60,1.00,145,0.171441,0.065568,0.144163,2.198686,1.318429,313
