bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11
3.010934202978821084e-01,2.505010574171753213e-01,2.851457803557129189e-01,2.649675815413208291e-01,2.566925494978637978e-01,2.251598446676941201e-01,2.349158733198852822e-01,2.339105813811035439e-01,2.632117479155273720e-01,2.621577589819641396e-01,2.946193425963135049e-01,3.258861511061401650e-01
2.969501226256103799e-01,2.502147763083191201e-01,2.840380876372070595e-01,2.676671951124878213e-01,2.524399369070740029e-01,2.259972899267883584e-01,2.344454138586731240e-01,2.311913578818054482e-01,2.628421991179199502e-01,2.582447736571045205e-01,3.022250740835876748e-01,3.264730184385986611e-01
2.985378115484924599e-01,2.475342362234802529e-01,2.825458257506103799e-01,2.679947822401733681e-01,2.395156233618469521e-01,2.275926678488464638e-01,2.342277973005981728e-01,2.305045931647033974e-01,2.530304401228637978e-01,2.609219162771911904e-01,2.727241723845215127e-01,3.279288618872375771e-01
3.074374406645508095e-01,2.456620543310852334e-01,2.808681338141174599e-01,2.661130636046142861e-01,2.431630699942322060e-01,2.295666544745178506e-01,2.339405029127807900e-01,2.299225538084717080e-01,2.523374169180603310e-01,2.608185022185058877e-01,2.634800284216614052e-01,3.239914386580200478e-01
3.057058065245361611e-01,2.451786010573120400e-01,2.812589614699096963e-01,2.676247566054077431e-01,2.549452989409179970e-01,2.316205709288330361e-01,2.331562249968262002e-01,2.298026292631836220e-01,2.516538112471313759e-01,2.587691157171936318e-01,2.636648624251098916e-01,3.200888245413513467e-01
3.097464053938598916e-01,2.447451560805053994e-01,2.806961148092956826e-01,2.672540157149048134e-01,2.617709844420166299e-01,2.353011577437134072e-01,2.326045840094299599e-01,2.268271057913513467e-01,2.495639531920166299e-01,2.553917377302856728e-01,2.650973408529968545e-01,3.220061271498413369e-01
3.098145931074829384e-01,2.441769450018616006e-01,2.811637132475586220e-01,2.674167363951416299e-01,2.534682362387390420e-01,2.553170531103821084e-01,2.315676420042724892e-01,2.256973593542785927e-01,2.546880452940674111e-01,2.494790761778564736e-01,2.698683350393982217e-01,3.216873019049377724e-01
3.115601151297302529e-01,2.267354934523315713e-01,2.819267719099731728e-01,2.720919459173889443e-01,2.554838269064636513e-01,2.466469614813537881e-01,2.329475491354675576e-01,2.253523676703186318e-01,2.411945073912353799e-01,2.524081080267639443e-01,2.624616234610290810e-01,3.188390343497009560e-01
3.185349314520569131e-01,2.286582200834961220e-01,2.813370435545654580e-01,2.707166879484863564e-01,2.547555177519531533e-01,2.353804915259094521e-01,2.329488604376526162e-01,2.283343284437866494e-01,2.365512459585876748e-01,2.516799776861877724e-01,2.637530772993774697e-01,3.217164485762329384e-01
3.058489768812866494e-01,2.316035240004272744e-01,2.760541646788330361e-01,2.722081749747009560e-01,2.541528551886291787e-01,2.379136293242187783e-01,2.368666141340942666e-01,2.276648490736694619e-01,2.309235542128296181e-01,2.557871549437256142e-01,2.605886667082519814e-01,3.209272234747619912e-01
2.979907601187439248e-01,2.390836088965149209e-01,2.743622272322387978e-01,2.779505460570068642e-01,2.535406558821411416e-01,2.376022546599121377e-01,2.369929163763733193e-01,2.245469897101135537e-01,2.290093510458679482e-01,2.542685478041382119e-01,2.506497710058899209e-01,3.214547245810241982e-01
3.000161259482116982e-01,2.314949839422912881e-01,2.757480352232666299e-01,2.776810138533325478e-01,2.606984584639282509e-01,2.369379012892456338e-01,2.336752622435303017e-01,2.267692296812744424e-01,2.277053206274719521e-01,2.530302613089294717e-01,2.472536175558777138e-01,3.223761527846069619e-01
3.038163392851562783e-01,2.304951756308288857e-01,2.757208555052490517e-01,2.779640763113708779e-01,2.618482916662903115e-01,2.422842591116638467e-01,2.280268876860351845e-01,2.296508162329407021e-01,2.258328407118530556e-01,2.477540581534118935e-01,2.548667996237488076e-01,3.036170809576721474e-01
3.050661890814514443e-01,2.347953527281494424e-01,2.759623139212341592e-01,2.754305808851928994e-01,2.579190342734070107e-01,2.589918582747192666e-01,2.255003660032959267e-01,2.294124572584839150e-01,2.256302445242615029e-01,2.465377657721252724e-01,2.494706719229431435e-01,3.037454693625183388e-01
3.007154076407165810e-01,2.347386687109680459e-01,2.767533867666931435e-01,2.747516243765564248e-01,2.642642467329712197e-01,2.479487269232483193e-01,2.279660313437195107e-01,2.329170911619873330e-01,2.236022560904236123e-01,2.395025699446411416e-01,2.501738279173584267e-01,3.054179756949157998e-01
3.049480526755066201e-01,2.370728462050171181e-01,2.766908018896789834e-01,2.730162947485657021e-01,2.629591434309692666e-01,2.374681442091675088e-01,2.292759030173034951e-01,2.367710082838745400e-01,2.230391114065857217e-01,2.384550779173584267e-01,2.439648120711059853e-01,2.960927098105163857e-01
3.050062268088074013e-01,2.366466729948730752e-01,2.728048770735473916e-01,2.735974996397705361e-01,2.542349307844848916e-01,2.509521453688354775e-01,2.293239443609924599e-01,2.323004215071411416e-01,2.192473023245544717e-01,2.388011424849243447e-01,2.399262993643493935e-01,2.935570686171264931e-01
3.041570394346924111e-01,2.365032642195434853e-01,2.719375698874206826e-01,2.718028633902282998e-01,2.625763624022217080e-01,2.566412895033569619e-01,2.347972600767822549e-01,2.305271237204284951e-01,2.204767673323364541e-01,2.395554392645569131e-01,2.393260805914612099e-01,2.918846218893738076e-01
2.990542261908264443e-01,2.345829217741699502e-01,2.638797371695251748e-01,2.725025027106018349e-01,2.583760826895447060e-01,2.533091514418335244e-01,2.452944724867553994e-01,2.305454223463745400e-01,2.181431858847351357e-01,2.389317362616272256e-01,2.388205735991211220e-01,2.906295864889831826e-01
2.988854258368225381e-01,2.362854688475342080e-01,2.548379509756775185e-01,2.757979243109436318e-01,2.621783225844116494e-01,2.471830456564636513e-01,2.563620417425842568e-01,2.319163291762085244e-01,2.170689313719482705e-01,2.371374576399536416e-01,2.422806232283325478e-01,2.888976543257446572e-01
2.919855325529785439e-01,2.328684537718506142e-01,2.504024713347168252e-01,2.746662705252380654e-01,2.628921478102417275e-01,2.523821800062866494e-01,2.466800420592041299e-01,2.337867825339050576e-01,2.160541622946472451e-01,2.220689862082214638e-01,2.458132117102356240e-01,2.868901698897095009e-01
2.953916995833130166e-01,2.319039910147400185e-01,2.572909801314087197e-01,2.711528747389526650e-01,2.645877807448120400e-01,2.523334234068603799e-01,2.384034602949829384e-01,2.347223370382995888e-01,2.197577565024109170e-01,2.201807706663818642e-01,2.452123968908996865e-01,2.833243220160217568e-01
2.861554830382080361e-01,2.243288963148803994e-01,2.592528074095459267e-01,2.679777949164123818e-01,2.689701526472778603e-01,2.524524538824768349e-01,2.386302559683532998e-01,2.345949619124145791e-01,2.199226229498596474e-01,2.181963532278747842e-01,2.393499224493713662e-01,2.758504956076355263e-01
2.918540447066040322e-01,2.271704881499023720e-01,2.524499504873962685e-01,2.708613484213562295e-01,2.683930008719177529e-01,2.541280000517578408e-01,2.323041765997619912e-01,2.344477384398193642e-01,2.198103277991028115e-01,2.185694186995239541e-01,2.388481109450073525e-01,2.823243944952698037e-01
2.864378898451538369e-01,2.266526429960937783e-01,2.533079593489380166e-01,2.697068064520569131e-01,2.684287040541382119e-01,2.538525073836059853e-01,2.383437960455627724e-01,2.327399461577148720e-01,2.175747363875122353e-01,2.186530440161438271e-01,2.401803343603821084e-01,2.822453587362976357e-01
