label	tag	status	frame	no_hull	hull_y_m	road_cross_slope	road_crown_height_m	v_car_ms	v_water_ms	v_rel_mag_ms	v_rel_angle_deg_from_broadside	n_grid	dx_m	lim_m	depth_m	depth_cells	band_over_depth	n_water	water_layers	substeps	substeps_effective	bc_per_frame	bc_per_frame_auto	wrench_dt_s	wrench_dt_mode	frames	discard	settle_frames	stream_established_frac	fz_settle_N	f_buoy_analytic_N	fz_settle_over_analytic	force_horiz_mag_N	recycled_x	recycled_y	floor_clamps	wall_s	force_mean_x_N	force_mean_y_N	force_mean_z_N	u_mean_x_ms	u_mean_y_ms	u_mean_z_ms
B1s6	B1s6_g64_vc4.5000_vw2.0000_r1	OK	vehicle_rest	False	4.710871156863869			4.5	2.0	4.924428900898052	-66.03751102542182	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41639	4	11	12	4	3	0.03636363636363636	frame	400	250	30	0.7205244880361656	9149.941223144531	4468.62177	2.047598050157763	10496.99781446617	112526	249525	46105806	5.038237571716309	4943.852117411296	-9259.875234476725	15325.604454549153	1.4531164169311523	-3.23699688911438	-0.00015535879356320947
B1s6	B1s6_g64_vc4.5000_vw3.0000_r1	OK	vehicle_rest	False	4.710871156863869			4.5	3.0	5.408326913195984	-56.309932474020215	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41639	4	11	12	4	3	0.03636363636363636	frame	400	250	30	0.7264989461654271	9149.944519042969	4468.62177	2.0475987877226336	11788.564367647976	165099	248803	46162220	5.030191898345947	6041.494556935629	-10122.775971476238	15258.321842956542	2.177616596221924	-3.270498752593994	-0.0013623987324535847
B1s6	B1s6_g64_vc6.7000_vw0.5000_r1	OK	vehicle_rest	False	4.710871156863869			6.7	0.5	6.71863081289633	-85.73210669970919	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41639	4	11	12	4	4	0.03636363636363636	frame	400	250	30	0.7996059810238493	9149.939758300781	4468.62177	2.0475977223511537	9555.011587716732	38809	429794	48052849	5.031712055206299	4041.014758300781	-8658.432084655762	11413.422524515789	0.3952816426753998	-5.357697486877441	0.0008672592812217772
B1s6	B1s6_g64_vc6.7000_vw1.0000_r1	OK	vehicle_rest	False	4.710871156863869			6.7	1.0	6.774215821775979	-81.5110561194953	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41639	4	11	12	4	4	0.03636363636363636	frame	400	250	30	0.7687056132146388	9149.9443359375	4468.62177	2.0475987467468073	13133.007666516314	64996	407638	43277220	5.031782865524292	5510.089859771729	-11921.191220092773	16445.636306762695	0.7731043696403503	-5.1496710777282715	-4.1180577682098374e-05
B1s6	B1s6_g64_vc6.7000_vw2.0000_r1	OK	vehicle_rest	False	4.710871156863869			6.7	2.0	6.992138442565336	-73.37924308610795	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41639	4	11	12	4	4	0.03636363636363636	frame	400	250	30	0.7205342534471567	9149.943420410156	4468.62177	2.0475985418676768	18764.37743044442	110731	376828	38247920	5.038928270339966	9157.01536509196	-16378.367743937175	22652.41642964681	1.4061380624771118	-4.838006496429443	0.00047965534031391144
B1s6	B1s6_g64_vc6.7000_vw3.0000_r1	OK	vehicle_rest	False	4.710871156863869			6.7	3.0	7.340980860893182	-65.87901688055742	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41639	4	11	12	4	4	0.03636363636363636	frame	400	250	30	0.7241476867344498	9149.940307617188	4468.62177	2.047597845278632	21693.642200264938	165255	374036	38742963	5.0572144985198975	11223.35890858968	-18564.760346476236	27179.220567830405	2.1427910327911377	-4.8650665283203125	-0.002353941323235631
B1s6	B1s6_g64_vc8.9000_vw0.5000_r1	OK	vehicle_rest	False	4.710871156863869			8.9	0.5	8.914033879226622	-86.78451600825179	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41639	4	11	12	4	5	0.03636363636363636	frame	400	250	30	0.8555671644696893	9149.942138671875	4468.62177	2.0475982550368936	13681.232971696305	37273	596167	44152574	5.035744905471802	6157.646881866455	-12217.181364949543	15337.69903869629	0.35693734884262085	-7.618527889251709	0.0008692411356605589
B1s6	B1s6_g64_vc8.9000_vw1.0000_r1	OK	vehicle_rest	False	4.710871156863869			8.9	1.0	8.95600357302296	-83.58915997976756	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41639	4	11	12	4	5	0.03636363636363636	frame	400	250	30	0.7849712949072001	9149.945434570312	4468.62177	2.047598992601764	20199.5370949575	62404	554007	35902534	5.085993051528931	8914.875727844239	-18125.845900472006	21851.75963643392	0.7150737047195435	-6.99409818649292	-0.0009056893177330494
B1s6	B1s6_g64_vc8.9000_vw2.0000_r1	OK	vehicle_rest	False	4.710871156863869			8.9	2.0	9.121951545584968	-77.33493623495764	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41639	4	11	12	4	5	0.03636363636363636	frame	400	250	30	0.7978471095366285	9149.942504882812	4468.62177	2.047598336988546	25636.81706473139	121336	534494	32634401	5.068469762802124	9591.965009562175	-23774.78909403483	29666.91745300293	1.5914340019226074	-7.101796627044678	0.014515675604343414
B1s6	B1s6_g64_vc8.9000_vw3.0000_r1	OK	vehicle_rest	False	4.710871156863869			8.9	3.0	9.392017887546851	-71.37213682354495	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41639	4	11	12	4	5	0.03636363636363636	frame	400	250	30	0.7843736850300446	9149.943969726562	4468.62177	2.047598664795155	30009.256851281956	171191	515776	31995890	5.15972638130188	13793.951184590658	-26651.123944091796	31940.76889546712	2.292116403579712	-7.001489162445068	0.033656902611255646
B1s7	B1s7_g64_vc0.0000_vw0.5000_r1	OK	vehicle_rest	False	4.710871156863869			0.0	0.5	0.5	-0.0	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41641	4	11	12	4	1	0.03636363636363636	frame	400	250	30	1.3721933364868164	9156.091186523438	4468.62177	2.0489743052304554	307.95253895669043	57628	0	59176251	4.86846399307251	307.85381061236063	-7.797277814770738	324.30484256744387	0.6860966682434082	-0.00012367143062874675	0.0
B1s7	B1s7_g64_vc0.0000_vw1.0000_r1	OK	vehicle_rest	False	4.710871156863869			0.0	1.0	1.0	-0.0	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41641	4	11	12	4	1	0.03636363636363636	frame	400	250	30	0.9725194573402405	9156.086059570312	4468.62177	2.0489731579073234	462.22325830395243	77518	0	59668169	4.4730308055877686	462.0502036412557	-12.647127428650856	511.8488486925761	0.9725194573402405	0.00048076765961013734	0.0
B1s7	B1s7_g64_vc0.0000_vw2.0000_r1	OK	vehicle_rest	False	4.710871156863869			0.0	2.0	2.0	-0.0	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41641	4	11	12	4	1	0.03636363636363636	frame	400	250	30	0.8522595763206482	9156.092651367188	4468.62177	2.0489746330370644	912.2619670525875	127781	0	57383406	4.469266414642334	911.9028512954712	-25.594654321670532	1158.1114899953207	1.7045191526412964	1.9184324628440663e-05	-0.00013806887727696449
B1s7	B1s7_g64_vc0.0000_vw3.0000_r1	OK	vehicle_rest	False	4.710871156863869			0.0	3.0	3.0	-0.0	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41641	4	11	12	4	2	0.03636363636363636	frame	400	250	30	0.830677350362142	9156.091003417969	4468.62177	2.048974264254629	1880.7237592328322	185515	0	54309114	4.501976490020752	1880.0276921590169	-51.16380808850129	2378.4679238637286	2.492032051086426	-0.001367645338177681	-0.0002587633498478681
B1s7	B1s7_g64_vc2.2000_vw0.5000_r1	OK	vehicle_rest	False	4.710871156863869			2.2	0.5	2.2561028345356955	-77.19573393471326	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41641	4	11	12	4	1	0.03636363636363636	frame	400	250	30	0.7476271352271434	9156.092468261719	4468.62177	2.0489745920612386	2360.4794232595978	42509	134430	58093749	4.988957405090332	1103.832723681132	-2086.48422609965	2992.0446626027424	0.46468058228492737	-1.6241281032562256	-5.3652769565815106e-05
B1s7	B1s7_g64_vc2.2000_vw1.0000_r1	OK	vehicle_rest	False	4.710871156863869			2.2	1.0	2.4166091947189146	-65.55604521958347	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41641	4	11	12	4	1	0.03636363636363636	frame	400	250	30	0.7166763282802006	9156.086242675781	4468.62177	2.0489731988831497	3032.9010845220096	61970	128026	56766714	4.960229396820068	1499.6293767293294	-2636.2095366160074	3984.43959274292	0.736250638961792	-1.5677905082702637	-0.00013482169015333056
B1s7	B1s7_g64_vc2.2000_vw2.0000_r1	OK	vehicle_rest	False	4.710871156863869			2.2	2.0	2.973213749463701	-47.72631099390627	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41641	4	11	12	4	1	0.03636363636363636	frame	400	250	30	0.7395363312501173	9156.093383789062	4468.62177	2.048974796940369	2568.6214034588775	115192	128463	55508715	5.001193523406982	1466.9841185887656	-2108.5002988179526	4232.155647786459	1.473144769668579	-1.6323689222335815	-0.00031945868977345526
B1s7	B1s7_g64_vc2.2000_vw3.0000_r1	OK	vehicle_rest	False	4.710871156863869			2.2	3.0	3.7202150475476548	-36.25383773744479	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41641	4	11	12	4	2	0.03636363636363636	frame	400	250	30	0.713962216597761	9156.085693359375	4468.62177	2.0489730759556712	5158.1847030095	166192	123802	53330845	5.002894639968872	4373.27794418335	-2735.198247528076	6726.597116088868	2.14359450340271	-1.5683879852294922	-0.00048752030124887824
B1s7	B1s7_g64_vc4.5000_vw0.5000_r1	OK	vehicle_rest	False	4.710871156863869			4.5	0.5	4.527692569068709	-83.6598082540901	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41641	4	11	12	4	3	0.03636363636363636	frame	400	250	30	0.7592403118203325	9156.090454101562	4468.62177	2.0489741413271507	5667.00902589521	40726	276107	53053586	5.02134108543396	2354.786192448934	-5154.606996409098	6917.1751093546545	0.43563979864120483	-3.4103569984436035	-0.00021510354417841882
B1s7	B1s7_g64_vc4.5000_vw1.0000_r1	OK	vehicle_rest	False	4.710871156863869			4.5	1.0	4.6097722286464435	-77.47119229084849	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41641	4	11	12	4	3	0.03636363636363636	frame	400	250	30	0.7311763034147376	9156.094482421875	4468.62177	2.048975042795326	7494.065997425648	63559	258980	50268305	5.030432462692261	3283.8509464263916	-6736.271085357666	9919.415480041504	0.772456169128418	-3.2811200618743896	0.0001682219881331548
B1s7	B1s7_g64_vc4.5000_vw2.0000_r1	OK	vehicle_rest	False	4.710871156863869			4.5	2.0	4.924428900898052	-66.03751102542182	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41641	4	11	12	4	3	0.03636363636363636	frame	400	250	30	0.7223318630887062	9156.092651367188	4468.62177	2.0489746330370644	10474.351504343304	112608	249698	46123139	5.032240390777588	4978.234936269125	-9215.704875691732	15318.307331339518	1.4576849937438965	-3.244706153869629	0.0005172733799554408
B1s7	B1s7_g64_vc4.5000_vw3.0000_r1	OK	vehicle_rest	False	4.710871156863869			4.5	3.0	5.408326913195984	-56.309932474020215	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41641	4	11	12	4	3	0.03636363636363636	frame	400	250	30	0.7235784163841833	9156.09521484375	4468.62177	2.0489752066986306	11793.835194524274	165213	248955	46107468	5.039853096008301	6065.37698542277	-10114.630523173015	15247.071846516927	2.1654868125915527	-3.2596018314361572	-0.0010871872073039412
B1s7	B1s7_g64_vc6.7000_vw0.5000_r1	OK	vehicle_rest	False	4.710871156863869			6.7	0.5	6.71863081289633	-85.73210669970919	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41641	4	11	12	4	4	0.03636363636363636	frame	400	250	30	0.7968830608745884	9156.09375	4468.62177	2.0489748788920212	9592.88707189897	38752	429663	48033321	5.039446592330933	4035.7825912475587	-8702.639901224773	11485.670538838704	0.3994502127170563	-5.339041233062744	0.00023960947874002159
B1s7	B1s7_g64_vc6.7000_vw1.0000_r1	OK	vehicle_rest	False	4.710871156863869			6.7	1.0	6.774215821775979	-81.5110561194953	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41641	4	11	12	4	4	0.03636363636363636	frame	400	250	30	0.7705768390168394	9156.091918945312	4468.62177	2.04897446913376	13130.549975331438	64897	407682	43386646	5.060218572616577	5494.802283477783	-11925.539422607422	16402.57182820638	0.7817947268486023	-5.161190509796143	9.416746252099983e-06
B1s7	B1s7_g64_vc6.7000_vw2.0000_r1	OK	vehicle_rest	False	4.710871156863869			6.7	2.0	6.992138442565336	-73.37924308610795	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41641	4	11	12	4	4	0.03636363636363636	frame	400	250	30	0.7208076326070229	9156.091186523438	4468.62177	2.0489743052304554	18768.855496529548	110973	376947	38124316	5.060729026794434	9102.194961039226	-16414.01789754232	22621.467012532554	1.407094120979309	-4.839715957641602	-0.0006656383047811687
B1s7	B1s7_g64_vc6.7000_vw3.0000_r1	OK	vehicle_rest	False	4.710871156863869			6.7	3.0	7.340980860893182	-65.87901688055742	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41641	4	11	12	4	4	0.03636363636363636	frame	400	250	30	0.7272443436894973	9156.094299316406	4468.62177	2.0489750018195	21710.623108368993	165313	374096	38631138	5.081066131591797	11262.3742090861	-18560.982811482747	27290.548436482746	2.150991439819336	-4.8863019943237305	-0.0011607111664488912
B1s7	B1s7_g64_vc8.9000_vw0.5000_r1	OK	vehicle_rest	False	4.710871156863869			8.9	0.5	8.914033879226622	-86.78451600825179	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41641	4	11	12	4	5	0.03636363636363636	frame	400	250	30	0.8534880010976076	9156.090270996094	4468.62177	2.048974100351325	13680.96366547115	37242	595760	44239944	5.04512357711792	6148.038308461507	-12221.718036905924	15276.597168477376	0.35503318905830383	-7.600071907043457	0.002136457012966275
B1s7	B1s7_g64_vc8.9000_vw1.0000_r1	OK	vehicle_rest	False	4.710871156863869			8.9	1.0	8.95600357302296	-83.58915997976756	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41641	4	11	12	4	5	0.03636363636363636	frame	400	250	30	0.7839924186977152	9156.08642578125	4468.62177	2.0489732398589755	20143.65451503443	62422	554229	35906716	5.0913286209106445	8833.569352722168	-18103.449110921225	21644.615830485025	0.7178744673728943	-6.98496150970459	-0.002333336276933551
B1s7	B1s7_g64_vc8.9000_vw2.0000_r1	OK	vehicle_rest	False	4.710871156863869			8.9	2.0	9.121951545584968	-77.33493623495764	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41641	4	11	12	4	5	0.03636363636363636	frame	400	250	30	0.7923074445390971	9156.094116210938	4468.62177	2.048974960843674	25525.99086916411	121638	534163	32525095	5.071487188339233	9520.880239868164	-23683.94074707031	29392.69155069987	1.5847917795181274	-7.051496505737305	0.011397029273211956
B1s7	B1s7_g64_vc8.9000_vw3.0000_r1	OK	vehicle_rest	False	4.710871156863869			8.9	3.0	9.392017887546851	-71.37213682354495	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41641	4	11	12	4	5	0.03636363636363636	frame	400	250	30	0.7783510468468591	9156.086608886719	4468.62177	2.048973280834802	29943.093455895334	170771	517081	31987264	5.1730921268463135	13654.56772664388	-26648.482619222006	31842.108740234376	2.2959885597229004	-6.940492153167725	0.007613641209900379
B1s8	B1s8_g64_vc0.0000_vw0.5000_r1	OK	vehicle_rest	False	4.710871156863869			0.0	0.5	0.5	-0.0	64	0.1472147236519959	9.421742313727737	0.3	2.037839643738194	0.490715745506653	41652	4	11	12	4	1	0.03636363636363636	frame	400	250	30	1.3721286058425903	9186.728576660156	4468.62177	2.0558304214366654	309.3154073471191	57650	0	59189361	4.947765827178955	309.22450149854023	-7.498592887570461	324.790328947703	0.6860643029212952	0.00023936211073305458	0.0
