doi	year	title	discovery_route	in_489_corpus	simulation_title
10.1111/jfr3.12645	2020	Victims crossing overflowing watercourses with vehicles in Spain	reference	YES	NO
10.5772/intechopen.92731	2020	Impact and Mitigation Strategies for Flash Floods Occurrence towards Vehicle Instabilities	reference	NO	NO
10.1016/j.oceaneng.2020.107460	2020	Experimental and computational study of operation of an amphibious craft in calm water	reference	NO	YES
10.1177/0954407020942005	2020	Analysis and research on vehicle wading performance	reference	YES	NO
10.1115/detc2019-97307	2019	Water-Egressing Mobility of an Amphibious Vehicle With a Controllable H-Driveline	reference	NO	NO
10.1111/jfr3.12527	2019	Full‐scale testing of stability curves for vehicles in flood waters	reference	YES	NO
10.1080/15715124.2019.1566240	2019	Criterion of vehicle instability in floodwaters: past, present and future	reference	YES	NO
10.1080/00221686.2019.1647887	2019	A conceptual model of vehicles stability in flood flows	reference	YES	YES
10.1080/15715124.2019.1687487	2019	A review of safety guidelines for vehicles in floodwaters	reference	YES	NO
10.1016/j.rineng.2019.100032	2019	Hazard risks pertaining to partially submerged non-stationary vehicle on low-lying roadways under subcritical flows	reference	YES	NO
10.1111/jfr3.12551	2019	Review and analysis of vehicle stability models during floods and proposal for future improvements	reference	YES	YES
10.11113/jt.v80.11198	2018	EXPERIMENTAL STUDIES ON THE THRESHOLD OF VEHICLE INSTABILITY IN FLOODWATERS	reference	YES	NO
10.1016/j.asej.2018.01.001	2018	Influence of forces on vehicle’s instability in floodwaters	reference	YES	NO
10.1080/1573062x.2017.1301501	2017	A new experiments-based methodology to define the stability threshold for any vehicle exposed to flooding	reference	YES	NO
10.4271/2017-01-1327	2017	Water Ingress Analysis and Splash Protection Evaluation for Vehicle Wading using Non-Classical CFD Simulation	reference	NO	YES
10.1111/jfr3.12262	2016	Stability criteria for flooded vehicles: a state‐of‐the‐art review	reference	YES	NO
10.4271/2016-28-0072	2016	Passenger Car Water Wading Evaluation Using CFD Simulation	reference	NO	YES
10.1016/j.jfluidstructs.2015.06.010	2015	Drag and lift contribution to the incipient motion of partly submerged flooded vehicles	reference	YES	NO
10.1115/detc2015-47142	2015	Coupled Multibody Dynamics and Smoothed Particle Hydrodynamics for Modeling Vehicle Water Fording	reference	YES	YES
10.1365/s40112-015-0985-7	2015	JLR’s revolutionary approach to vehicle wade testing	reference	NO	NO
10.4271/2014-36-0251	2014	Water Ingestion and Pressure Analysis of Automotive Vehicles using Multiphase CFD	reference	NO	YES
10.1007/s11069-013-0889-2	2013	Criterion of vehicle stability in floodwaters based on theoretical and experimental studies	reference	YES	NO
10.1080/17477891.2013.832651	2013	Vehicle-related flood fatalities in Greece	reference	YES	NO
10.1080/15715124.2012.674040	2012	Experimental studies on the interaction between vehicles and floodplain flows	reference	YES	NO
10.1007/978-3-642-33835-9_15	2012	Vehicle Wading Simulation with STRA-CCM+	reference	NO	YES
10.1016/j.envsoft.2011.02.017	2011	Numerical assessment of flood hazard risk to people and vehicles in flash floods	reference	YES	YES
10.1080/00221686.2011.616318	2011	Incipient velocity for partially submerged vehicles in floodwaters	reference	YES	NO
10.1007/s11069-010-9639-x	2010	Formula of incipient velocity for flooded vehicles	reference	YES	NO
10.1680/wama.2010.163.6.273	2010	Modelling the hydraulics of the Carlisle 2005 flood event	reference	NO	YES
10.1016/j.apgeog.2008.09.004	2008	Landscape, development, technology and drivers: The geography of drownings associated with automobiles in Texas floods, 1950–2004	reference	NO	NO
