cite_key	verdict	evidence	file	title
Sun15b	ABSENT	1 phrase candidates, none verified		Numerical simulation of interactions between free surface an
Sun16	ABSENT	0 phrase candidates, none verified		Material point method and smoothed particle hydrodynamics si
Sun19c	ABSENT	0 phrase candidates, none verified		Benchmarking the material point method for interaction probl
Sun20d	ABSENT	0 phrase candidates, none verified		A local grid refinement scheme for B-spline material point m
Sya17	ABSENT	0 phrase candidates, none verified		Quantifying the uncertainty introduced by discretization and
Taf18	ABSENT	0 phrase candidates, none verified		A versatile algorithm for the treatment of open boundary con
Tao21b	ABSENT	0 phrase candidates, none verified		A Local Semi-Fixed Ghost Particles Boundary Method for WCSPH
Tel24	ABSENT	0 phrase candidates, none verified		A displacement-based material point method for weakly compre
Teo12	ABSENT	2 phrase candidates, none verified		Experimental studies on the interaction between vehicles and
Tho06	ABSENT	0 phrase candidates, none verified		Water Stilling for Towing Tank Experiments of High Performan
Tho07	ABSENT	0 phrase candidates, none verified		Water stilling for towing tank seakeeping experiments
Tis21	ABSENT	0 phrase candidates, none verified		Amphibious Vehicle Water Egress Modeling and Simulation Usin
Tod19	ABSENT	0 phrase candidates, none verified		Experimentally Measured Hydroelastic Effects on Impact-Induc
Tou13b	ABSENT	0 phrase candidates, none verified		A critical investigation of smoothed particle hydrodynamics 
Vac12	ABSENT	0 phrase candidates, none verified		SPH Modeling of Shallow Flow with Open Boundaries for Practi
Val15b	ABSENT	0 phrase candidates, none verified		A study of solid wall models for weakly compressible SPH
Van11	ABSENT	0 phrase candidates, none verified		Modeling Floating Object Entry and Exit Using Smoothed Parti
Var22	ABSENT	0 phrase candidates, none verified		Transient, 3D CFD, Moving Mesh Simulation of Vehicle Water W
Var93	ABSENT	0 phrase candidates, none verified		Development of a Passenger Vehicle Finite Element Model. Fin
Vau20	ABSENT	0 phrase candidates, none verified		Material point method after 25 years: Theory, implementation
Wan20d	ABSENT	0 phrase candidates, none verified		A massively parallel and scalable multi-GPU material point m
Was15	ABSENT	0 phrase candidates, none verified		Coupled Multibody Dynamics and Smoothed Particle Hydrodynami
Xia11	ABSENT	1 phrase candidates, none verified		Numerical assessment of flood hazard risk to people and vehi
Xia13b	ABSENT	2 phrase candidates, none verified		Criterion of vehicle stability in floodwaters based on theor
Xin21b	ABSENT	0 phrase candidates, none verified		Analysis and research on vehicle wading performance
Xu19b	ABSENT	0 phrase candidates, none verified		Full-neighbor-list based numerical reproducibility method fo
Yam22	ABSENT	0 phrase candidates, none verified		Coupled multibody dynamics and computational fluid dynamics 
Yam24b	ABSENT	0 phrase candidates, none verified		Modeling of Vehicle Mobility in Shallow Water with Data-Driv
Yan17	ABSENT	0 phrase candidates, none verified		An Enhanced Smoothing Algorithm for MPM to Stabilize Hydrody
Yan18	ABSENT	0 phrase candidates, none verified		Smoothing algorithm for stabilization of the material point 
Zha21g	ABSENT	0 phrase candidates, none verified		Truncated hierarchical B-spline material point method for la
Zha23h	ABSENT	0 phrase candidates, none verified		3D large-scale SPH modeling of vehicle wading with GPU accel
Zha23r	ABSENT	0 phrase candidates, none verified		Multi-GPU multi-resolution SPH framework towards massive hyd
Zho21	ABSENT	0 phrase candidates, none verified		Numerical investigation of non-Newtonian power law flows usi
