cite_key	doi	oa_status	host_type	license	version	http	is_pdf	bytes	file	url
Abe14	10.1061/(asce)gt.1943-5606.0001011	green	repository		submittedVersion	200	NO	667210		http://infoscience.epfl.ch/record/199067
Obe02b	10.2172/793406	gold	repository		submittedVersion	200	NO	3357		https://digital.library.unt.edu/ark:/67531/metadc734067/m2/1/high_res_d/793406.pdf
Obe02b	10.2172/793406	gold	repository		submittedVersion	200	NO	3357		https://digital.library.unt.edu/ark:/67531/metadc734067/m2/1/high_res_d/793406.pdf
Obe02b	10.2172/793406	gold	repository		submittedVersion	0	NO	0		https://www.osti.gov/biblio/793406
Obe02b	10.2172/793406	gold	?		publishedVersion	0	NO	0		https://www.osti.gov/servlets/purl/793406
Rie20	10.1007/s11831-020-09473-7	hybrid	repository	other-oa	submittedVersion	200	NO	4482		http://mediatum.ub.tum.de/node?id=1574543
Rie20	10.1007/s11831-020-09473-7	hybrid	repository	other-oa	submittedVersion	200	NO	4482		http://mediatum.ub.tum.de/node?id=1577018
Rie20	10.1007/s11831-020-09473-7	hybrid	publisher	cc-by	publishedVersion	200	YES	2636919	Rie20_10.1007_s11831-020-09473-7.pdf	https://link.springer.com/content/pdf/10.1007/s11831-020-09473-7.pdf
Roy10	10.2514/6.2010-126	closed					NO	0		
Roy05	10.1016/j.jcp.2004.10.036	closed					NO	0		
Hol26	10.1016/j.commatsci.2026.114839	closed					NO	0		
Li14	10.1016/j.compfluid.2014.07.025	closed					NO	0		
