cite_key	year	pdf_in_undermind	title	source_search
Bha26	2026	Y	Bridging the Gap on AI-Assisted Scientific Software Development Through Transparency and Traceability	trustai,reliableai
Ho26	2026	Y	Auto-Configuring Scientific Simulators with Lightweight Coding-Agent Adapters	trustai
Hol26	2026	Y	Evaluating LLM-generated code for domain-specific languages: molecular dynamics with LAMMPS	trustai,reliableai
Zha26k	2026	Y	An Agentic Evaluation Framework for AI-Generated Scientific Code in PETSc	trustai,reliableai
Kum26	2026	Y	MDGYM: Benchmarking AI Agents on Molecular Simulations	trustai,reliableai
Lie26	2026	Y	Agentic Scientific Simulation: Execution-Grounded Model Construction and Reconstruction	trustai
Fan26b	2026	Y	PhyNiKCE: A Neurosymbolic Agentic Framework for Autonomous Computational Fluid Dynamics	trustai
Dus25	2025	Y	AInsteinBench: Benchmarking Coding Agents on Scientific Repositories	reliableai
Han26	2026	Y	PDEAgent-Bench: A Multi-Metric, Multi-Library Benchmark for PDE Solver Generation	reliableai
Van25	2025	Y	AI-Generated Code Is Not Reproducible (Yet): An Empirical Study of Dependency Gaps in LLM-Based Coding Agents	reliableai
Bra11	2011	N	Establishing credibility of particle methods through verification testing	provenance
Zha23i	2023	Y	A method for automated regression test in scientific computing libraries: illustration with SPHinXsys	provenance
Kam06	2006	N	Verification of Computational Constitutive Models using the Method of Manufactured Solutions	provenance
Li14	2014	N	Sloshing impact simulation with material point method and its experimental validations	provenance
