run,vehicle,n_grid,dx,water_layers,hull_m3,realized_rho,mass_kg,depth_m,velocity_ms,frames,final_disp_mag_m,passthrough_max_frac,local_depth_bow_peak,local_depth_footprint_peak,C2_veh_zmin_rise,final_roll_deg,n_water,n_vehicle,n_carved,substeps
yaris_g120_r2,yaris,120,0.07853224009585878,8,3.553210730426775,307.9754852429402,1100.0,0.3,1.5,90,0.6935197114944458,0.11377187156203279,0.4558321794774383,0.6290119251515716,0.0,-5.354523183383068e-05,389947,58996,7885,20
yaris_g120_r3,yaris,120,0.07853224009585878,8,3.553210730426775,307.9754852429402,1100.0,0.3,1.5,90,0.6935480833053589,0.1140206233154762,0.4555003604199737,0.6296966037061065,0.0,5.9096564850414615e-05,389947,58996,7885,20
yaris_g132_r1,yaris,132,0.0713929455416898,8,3.553210730426775,312.32151488627824,1100.0,0.3,1.5,90,0.39675647020339966,0.11256546119898762,0.4541327592916786,0.5462945339269936,0.0,-0.0011208340844872588,485593,77431,6439,22
yaris_g132_r2,yaris,132,0.0713929455416898,8,3.553210730426775,312.32151488627824,1100.0,0.3,1.5,90,0.3955667018890381,0.11247279099987026,0.4544459220953285,0.5463581320829689,0.0,0.0007733288254655208,485593,77431,6439,22
yaris_g132_r3,yaris,132,0.0713929455416898,8,3.553210730426775,312.32151488627824,1100.0,0.3,1.5,90,0.39684584736824036,0.11282699709427442,0.4540916916914284,0.5463156935758888,0.0,0.0009609368297143812,485593,77431,6439,22
yaris_g72_r1,yaris,72,0.1308870668264313,5,3.553210730426775,313.2141654522569,1100.0,0.3,1.5,90,0.5870723128318787,0.09846161549149444,0.4934728279554595,0.3881697788679351,-0.08922553062438965,0.000518048525048394,79889,12530,756,12
yaris_g72_r2,yaris,72,0.1308870668264313,5,3.553210730426775,313.2141654522569,1100.0,0.3,1.5,90,0.5871573686599731,0.09854923706642967,0.49346764235136403,0.38817901758787526,-0.08922910690307617,-0.00047268257658447964,79889,12530,756,12
yaris_g72_r3,yaris,72,0.1308870668264313,5,3.553210730426775,313.2141654522569,1100.0,0.3,1.5,90,0.5873292088508606,0.09848665022719022,0.49344940333006276,0.38815553335783376,-0.08922511339187622,-0.0022583978385599178,79889,12530,756,12
yaris_g84_r1,yaris,84,0.1121889144226554,5,3.553210730426775,316.2688329102069,1100.0,0.3,1.5,90,0.5612024068832397,0.12311667095788978,0.41761470137696177,0.4870350986586085,-0.0006412863731384277,-0.0028534670226332036,112633,19705,1372,14
yaris_g84_r2,yaris,84,0.1121889144226554,5,3.553210730426775,316.2688329102069,1100.0,0.3,1.5,90,0.5613197088241577,0.12274377846634646,0.41771763859848887,0.48601365386109263,-0.0006428956985473633,0.0010227300522272457,112633,19705,1372,14
yaris_g84_r3,yaris,84,0.1121889144226554,5,3.553210730426775,316.2688329102069,1100.0,0.3,1.5,90,0.559565007686615,0.12285919757087177,0.41790348588089854,0.4866633444891444,-0.000639796257019043,-0.0021167228981675596,112633,19705,1372,14
yaris_g96_r1,yaris,96,0.09816530011982348,6,3.553210730426775,312.31762319294154,1100.0,0.3,1.5,90,0.6769188642501831,0.12275510486797994,0.4271340172621421,0.5468081038328818,0.0,-0.0017474275472711457,180465,29786,3285,16
yaris_g96_r2,yaris,96,0.09816530011982348,6,3.5532107304267746,312.31762319294154,1100.0,0.3,1.5,90,0.6774780750274658,0.12306541434627213,0.42682949713198465,0.5471750896307639,0.0,-0.0008491266142415976,180465,29786,3285,16
yaris_g96_r3,yaris,96,0.09816530011982348,6,3.553210730426775,312.31762319294154,1100.0,0.3,1.5,90,0.6762216687202454,0.12275510486797994,0.4271883170935325,0.5471908848616294,0.0,-0.0004001832597481265,180465,29786,3285,16
