run,vehicle,arm,repeat,n_grid,dx,water_layers,hull_m3,solid_volume_m3,fill_ratio,realized_rho,mass_kg,depth_m,velocity_ms,frames,final_disp_mag_m,passthrough_max_frac,C2_veh_zmin_rise,final_roll_deg,final_pitch_deg,final_yaw_deg,local_depth_bow_peak,local_depth_footprint_peak,n_water,n_vehicle,n_carved,substeps,bulk_modulus,floor_friction,water_eta
silverado_A1,silverado,A,1,131,0.09833526131305986,6,4.875500732487054,4.743012545806775,0.9728257272535175,231.920111822705,1100.0,0.3,1.5,90,0.22774969041347504,0.09158540929689248,5.960464477539063e-08,0.8820254430928822,0.3280345091244073,-0.19484519331913722,0.4380240584375294,0.3947050715448292,362121,39904,975,16,150000.0,0.55,0.001
silverado_A2,silverado,A,2,131,0.09833526131305986,6,4.875500732487054,4.743012545806775,0.9728257272535175,231.920111822705,1100.0,0.3,1.5,90,0.22799399495124817,0.09161302437583017,5.960464477539063e-08,0.8778301061169077,0.3300720132507603,-0.2024564252929115,0.4379903818132313,0.39458508739489634,362121,39904,975,16,150000.0,0.55,0.001
silverado_A3,silverado,A,3,131,0.09833526131305986,6,4.875500732487054,4.743012545806775,0.9728257272535175,231.920111822705,1100.0,0.3,1.5,90,0.2281680852174759,0.09158540929689248,0.0,0.8802593589447579,0.32921981374966897,-0.19654068105888708,0.4380524302484425,0.39474250326174815,362121,39904,975,16,150000.0,0.55,0.001
silverado_B1,silverado,B,1,131,0.09833526131305986,6,4.875500732487054,4.743012545806775,0.9728257272535175,231.920111822705,1100.0,0.3,1.5,90,0.24121955037117004,0.09117946763650824,0.0,0.7341023820514765,0.39529866563794247,-0.32389821593215634,0.43722583303469736,0.3892547632219227,362121,39904,975,16,150000.0,0.55,0.001
silverado_B2,silverado,B,2,131,0.09833526131305986,6,4.875500732487054,4.743012545806775,0.9728257272535175,231.920111822705,1100.0,0.3,1.5,90,0.24281446635723114,0.09132030453909053,-5.960464477539063e-08,0.7373425063998542,0.3946603631156636,-0.3535863001702779,0.4370579267503651,0.3890125299455555,362121,39904,975,16,150000.0,0.55,0.001
silverado_B3,silverado,B,3,131,0.09833526131305986,6,4.875500732487054,4.743012545806775,0.9728257272535175,231.920111822705,1100.0,0.3,1.5,90,0.23963111639022827,0.09106348430496988,0.0,0.7349862512187585,0.3948831980373353,-0.3004760565251546,0.43726243028658945,0.38931299695986826,362121,39904,975,16,150000.0,0.55,0.001
yaris_A1,yaris,A,1,96,0.09816530011982348,6,3.5532107304267746,3.5220554919516953,0.9912318067126469,312.31762319294154,1100.0,0.3,1.5,90,0.6786291003227234,0.1230266256614856,0.0,-0.00030359287269701675,-1.0413287198694399,-6.563137311201715,0.42691955975024026,0.5468546550604514,180465,29786,3285,16,150000.0,0.55,0.001
yaris_A2,yaris,A,2,96,0.09816530011982348,6,3.5532107304267746,3.5220554919516953,0.9912318067126469,312.31762319294154,1100.0,0.3,1.5,90,0.6767203211784363,0.12264428005430415,0.0,-0.00020001646089916594,-1.0415652151694517,-6.47464538031503,0.42700801304308694,0.5470509927603415,180465,29786,3285,16,150000.0,0.55,0.001
yaris_A3,yaris,A,3,96,0.09816530011982348,6,3.5532107304267746,3.5220554919516953,0.9912318067126469,312.31762319294154,1100.0,0.3,1.5,90,0.6775073409080505,0.12279389355276646,0.0,-0.0006982739198132821,-1.0428202624294416,-6.498031521146331,0.426995257649105,0.5468792717787436,180465,29786,3285,16,150000.0,0.55,0.001
yaris_B1,yaris,B,1,96,0.09816530011982348,6,3.5532107304267746,3.5220554919516953,0.9912318067126469,312.31762319294154,1100.0,0.3,1.5,90,0.8280739784240723,0.13028010971656553,-0.002720475196838379,-0.006231398691772832,-1.0409613837581402,-9.063295613486325,0.42348150423495096,0.5810298126074485,180465,29786,3285,16,150000.0,0.55,0.001
yaris_B2,yaris,B,2,96,0.09816530011982348,6,3.5532107304267746,3.5220554919516953,0.9912318067126469,312.31762319294154,1100.0,0.3,1.5,90,0.8302834630012512,0.13005291884853018,-0.002719283103942871,-0.004811114548226901,-1.0406868955308703,-9.007220614174166,0.42326203993288797,0.5813931625219992,180465,29786,3285,16,150000.0,0.55,0.001
yaris_B3,yaris,B,3,96,0.09816530011982348,6,3.5532107304267746,3.5220554919516953,0.9912318067126469,312.31762319294154,1100.0,0.3,1.5,90,0.8295342922210693,0.13023023855041144,-0.0027210116386413574,-0.0034734377990949397,-1.0409831549861197,-9.038341517353683,0.4230999749037437,0.5814928214880637,180465,29786,3285,16,150000.0,0.55,0.001
